Type,Value,Classification,First seen,Last seen
IP address,194.38.22.53,Kinsing downloader,29/09/2023,30/01/2023
IP address,194.38.21.25,Kinsing downloader,03/09/2023,30/01/2023
IP address,45.15.158.124,Kinsing downloader,18/08/2023,29/04/2022
IP address,194.87.252.159,Kinsing downloader,25/07/2023,22/12/2022
IP address,194.38.21.37,Kinsing downloader,10/07/2023,27/09/2022
IP address,185.17.0.226,Kinsing downloader,16/06/2023,27/09/2022
IP address,194.38.20.196,Kinsing downloader,10/06/2023,27/09/2022
IP address,45.138.157.202,Kinsing downloader,07/06/2023,19/10/2022
IP address,194.38.20.27,Kinsing downloader,03/06/2023,30/01/2023
IP address,194.38.20.32,Kinsing downloader,18/05/2023,21/09/2022
IP address,194.38.20.11,Kinsing downloader,12/05/2023,21/09/2022
IP address,93.185.166.75,Kinsing downloader,12/03/2023,30/01/2023
IP address,194.38.20.225,Kinsing downloader,24/02/2023,30/01/2023
IP address,185.209.29.94,Kinsing downloader,23/02/2023,30/01/2023
IP address,194.40.243.205,Kinsing downloader,09/02/2023,30/01/2023
IP address,194.40.243.206,Kinsing downloader,18/01/2023,30/01/2023
IP address,194.40.243.206,Kinsing downloader,18/01/2023,30/01/2023
IP address,62.113.115.166,Kinsing downloader,13/01/2023,30/01/2023
IP address,62.113.115.166,Kinsing downloader,13/01/2023,30/01/2023
IP address,185.246.90.206,Kinsing downloader,12/01/2023,30/01/2023
IP address,62.113.113.60,Kinsing downloader,11/01/2023,30/01/2023
IP address,62.113.113.60,Kinsing downloader,11/01/2023,29/01/2023
IP address,195.2.78.146,Kinsing C2,22/12/2022,11/10/2022
IP address,185.246.90.205,Kinsing downloader,20/12/2022,29/01/2023
IP address,185.246.90.205,Kinsing downloader,20/12/2022,30/09/2022
IP address,185.246.90.203,Kinsing downloader,06/11/2022,30/01/2023
IP address,185.246.90.203,Kinsing downloader,01/11/2022,17/01/2023
IP address,194.87.216.10,Kinsing downloader,27/10/2022,30/01/2023
IP address,185.224.212.104,Kinsing C2,22/10/2022,09/01/2023
IP address,194.169.160.157,Kinsing C2,22/10/2022,12/01/2023
IP address,91.240.87.98,Kinsing C2,22/10/2022,12/01/2023
IP address,93.189.42.217,Kinsing C2,22/10/2022,12/01/2023
IP address,185.221.154.208,Kinsing C2,22/10/2022,30/01/2023
IP address,185.237.224.182,Kinsing C2,22/10/2022,05/11/2023
IP address,193.187.173.76,Kinsing C2,22/10/2022,28/09/2023
IP address,93.189.46.81,Kinsing C2,22/10/2022,03/09/2023
IP address,95.182.120.140,Kinsing downloader,12/10/2022,17/08/2023
IP address,95.182.120.140,Kinsing downloader,11/10/2022,25/07/2023
IP address,194.40.243.73,Kinsing downloader,09/10/2022,23/06/2023
IP address,95.182.122.57,Kinsing downloader,07/10/2022,12/07/2023
IP address,95.182.122.57,Kinsing downloader,07/10/2022,10/06/2023
IP address,94.103.85.178,Kinsing downloader,06/10/2022,07/06/2023
